region,category,parameter,mode,powertrain,year,unit,value
China,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,0.00005199999941396527
China,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,0.000025999999706982635
China,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.00009699999645818025
China,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.0001900000061141327
China,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.0004799999878741801
China,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.00023999999393709004
China,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.0004799999878741801
China,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.0009599999757483602
China,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.002400000113993883
China,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.0012000000569969416
China,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.003800000064074993
China,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.007600000128149986
China,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.014999999664723873
China,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.007600000128149986
China,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.014000000432133675
China,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.02800000086426735
China,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.054999999701976776
China,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.027000000700354576
China,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.039000000804662704
China,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.07800000160932541
China,Historical,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.04600000008940697
China,Historical,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.08900000154972076
China,Historical,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.18000000715255737
Europe,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,0.0001500000071246177
Europe,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,0.00007500000356230885
Europe,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.0002500000118743628
Europe,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.0005000000237487257
Europe,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.0010999999940395355
Europe,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.0005699999746866524
Europe,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.0012000000569969416
Europe,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.002300000051036477
Europe,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.004800000227987766
Europe,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.002400000113993883
Europe,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.004399999976158142
Europe,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.008799999952316284
Europe,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.013000000268220901
Europe,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.0066999997943639755
Europe,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.009499999694526196
Europe,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.01899999938905239
Europe,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.026000000536441803
Europe,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.013000000268220901
Europe,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.019999999552965164
Europe,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.03999999910593033
Europe,Historical,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.03099999949336052
Europe,Historical,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.07199999690055847
Europe,Historical,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.10000000149011612
India,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,0.00003199999991920777
India,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,0.000015999999959603883
India,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.00003099999958067201
India,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.00006299999949987978
India,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.00006500000017695129
India,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.00003199999991920777
India,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.000037000001611886546
India,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.00007400000322377309
India,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.00009999999747378752
India,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.00004999999873689376
India,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.00005900000178371556
India,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.00011999999696854502
India,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.00014000000373926014
India,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.00006800000119255856
India,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.00008199999865610152
India,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.00015999999595806003
India,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.0001900000061141327
India,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.00009300000237999484
India,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.00009999999747378752
India,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.00019999999494757503
